run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-165917-978 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (24.45, 3.84), 'giro_inicial': 0.6, 'meta': (29.46, 19.54), 'angulo_llegada': 283.6, 'largo': 1.07, 'ancho': 0.64, 'v_max': 2.24, 'v_inicial': 0.0, 'a_max': 0.83, 'giro_max': 28.1, 'grupo': 1, 'prioridad': 3}, {'id': 2, 'inicio': (36.98, 8.51), 'giro_inicial': 127.7, 'meta': (20.95, 18.18), 'angulo_llegada': 269.4, 'largo': 0.79, 'ancho': 0.49, 'v_max': 2.76, 'v_inicial': 0.0, 'a_max': 0.94, 'giro_max': 28.4, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (19.75, 19.53), 'giro_inicial': 47.0, 'meta': (31.02, 3.24), 'angulo_llegada': 53.7, 'largo': 0.87, 'ancho': 0.5, 'v_max': 2.81, 'v_inicial': 0.0, 'a_max': 0.72, 'giro_max': 33.4, 'grupo': 1, 'prioridad': 3}, {'id': 4, 'inicio': (14.71, 18.33), 'giro_inicial': 279.0, 'meta': (19.45, 17.97), 'angulo_llegada': 105.8, 'largo': 0.93, 'ancho': 0.52, 'v_max': 2.93, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 35.0, 'grupo': 1, 'prioridad': 2}, {'id': 5, 'inicio': (25.61, 18.56), 'giro_inicial': 125.2, 'meta': (14.29, 19.56), 'angulo_llegada': 247.8, 'largo': 0.97, 'ancho': 0.52, 'v_max': 2.97, 'v_inicial': 0.0, 'a_max': 0.98, 'giro_max': 34.2, 'grupo': 1, 'prioridad': 1}, {'id': 6, 'inicio': (16.81, 8.06), 'giro_inicial': 354.3, 'meta': (36.44, 18.14), 'angulo_llegada': 96.4, 'largo': 1.12, 'ancho': 0.68, 'v_max': 1.99, 'v_inicial': 0.0, 'a_max': 1.0, 'giro_max': 31.5, 'grupo': 2, 'prioridad': 3}]
20260718-165917-978,1,0,24.981620,4.165585,23.918380,3.514415,-0.083000,0.010472,-0.830000,3.141593
20260718-165917-978,1,1,24.973320,4.165498,23.910081,3.514328,-0.166000,0.010472,-0.830000,3.141593
20260718-165917-978,1,2,24.956721,4.165324,23.893482,3.514154,-0.249000,0.010472,-0.830000,3.141593
20260718-165917-978,1,3,24.931822,4.165063,23.868583,3.513894,-0.332000,0.010472,-0.827983,3.141593
20260718-165917-978,1,4,24.898624,4.164716,23.835385,3.513546,-0.414798,0.010472,-0.828689,-2.725112
20260718-165917-978,1,5,24.867025,4.148844,23.784002,3.531136,-0.497667,-0.020707,-0.828287,-2.733549
20260718-165917-978,1,6,24.828233,4.131696,23.723357,3.553985,-0.580496,-0.057265,-0.827868,-2.741981
20260718-165917-978,1,7,24.781968,4.114176,23.653991,3.582981,-0.663283,-0.098924,-0.827446,-2.750412
20260718-165917-978,1,8,24.728001,4.097303,23.576559,3.619097,-0.746027,-0.145409,-0.827030,-2.758841
20260718-165917-978,1,9,24.666186,4.082201,23.491847,3.663359,-0.828730,-0.196447,-0.826630,-2.767272
20260718-165917-978,1,10,24.596484,4.070091,23.400783,3.716822,-0.911393,-0.251767,-0.826254,-2.775705
20260718-165917-978,1,11,24.518989,4.062275,23.304443,3.780534,-0.994019,-0.311103,-0.825911,-2.784141
20260718-165917-978,1,12,24.433954,4.060115,23.204062,3.855504,-1.076610,-0.374189,-0.407865,-2.792581
20260718-165917-978,1,13,24.341810,4.065013,23.101031,3.942674,-1.117396,-0.440763,0.000000,-2.796752
20260718-165917-978,1,14,24.246732,4.077167,23.000500,4.039668,-1.117396,-0.508963,-0.000000,-2.796752
20260718-165917-978,1,15,24.152704,4.095772,22.906814,4.143289,-1.117396,-0.577164,-0.003659,-2.796752
20260718-165917-978,1,16,24.060162,4.120742,22.820406,4.253053,-1.117762,-0.645365,0.000000,-2.820249
20260718-165917-978,1,17,23.969704,4.154594,22.740785,4.364972,-1.117762,-0.708590,-0.000000,-2.820249
20260718-165917-978,1,18,23.881566,4.194093,22.668395,4.481699,-1.117762,-0.771816,0.000000,-2.820249
20260718-165917-978,1,19,23.796099,4.239083,22.603525,4.602766,-1.117762,-0.835041,0.826341,-2.820249
20260718-165917-978,1,20,23.713646,4.289382,22.546433,4.727690,-1.035128,-0.898267,0.826624,-2.812372
20260718-165917-978,1,21,23.639818,4.339580,22.501036,4.847197,-0.952466,-0.958362,0.826937,-2.804499
20260718-165917-978,1,22,23.574185,4.388753,22.466012,4.960114,-0.869772,-1.015084,0.827274,-2.796629
20260718-165917-978,1,23,23.516282,4.436072,22.440001,5.065451,-0.787045,-1.068191,0.827628,-2.788762
20260718-165917-978,1,24,23.465625,4.480802,22.421631,5.162401,-0.704282,-1.117439,0.827991,-2.780895
20260718-165917-978,1,25,23.421728,4.522301,22.409555,5.250316,-0.621483,-1.162580,0.828355,-2.773029
20260718-165917-978,1,26,23.384121,4.560016,22.402475,5.328697,-0.538647,-1.203365,0.828709,-2.765161
20260718-165917-978,1,27,23.352368,4.593484,22.399169,5.397169,-0.455776,-1.239545,0.828680,-2.757292
20260718-165917-978,1,28,23.326078,4.622320,22.398513,5.455461,-0.372908,-1.270865,0.829533,-2.805123
20260718-165917-978,1,29,23.306504,4.648015,22.397631,5.501508,-0.289955,-1.293029,0.829721,-2.798352
20260718-165917-978,1,30,23.291460,4.668104,22.397756,5.537467,-0.206983,-1.310637,0.829868,-2.791576
20260718-165917-978,1,31,23.280775,4.682472,22.398306,5.563238,-0.123996,-1.323476,0.829962,-2.784794
20260718-165917-978,1,32,23.274362,4.691067,22.398837,5.578736,-0.041000,-1.331330,0.830000,3.141593
20260718-165917-978,1,33,23.273389,4.695050,22.397865,5.582719,0.042000,-1.331330,0.830000,0.000000
20260718-165917-978,1,34,23.274385,4.690970,22.398861,5.578639,0.125000,-1.331330,0.830000,0.000000
20260718-165917-978,1,35,23.277350,4.678826,22.401826,5.566496,0.208000,-1.331330,0.829133,0.000000
20260718-165917-978,1,36,23.282283,4.658620,22.406759,5.546289,0.290913,-1.331330,0.829109,-0.458699
20260718-165917-978,1,37,23.277529,4.619637,22.423933,5.528413,0.373824,-1.355742,0.828698,-0.449679
20260718-165917-978,1,38,23.270257,4.570001,22.444920,5.504517,0.456694,-1.386401,0.828246,-0.440667
20260718-165917-978,1,39,23.259614,4.510013,22.469023,5.474101,0.539519,-1.422998,0.827770,-0.431661
20260718-165917-978,1,40,23.244601,4.440056,22.495416,5.436660,0.622296,-1.465228,0.827283,-0.422659
20260718-165917-978,1,41,23.224100,4.360615,22.523141,5.391710,0.705024,-1.512787,0.826800,-0.413659
20260718-165917-978,1,42,23.196897,4.272306,22.551109,5.338822,0.787704,-1.565378,0.826330,-0.404658
20260718-165917-978,1,43,23.161720,4.175887,22.578099,5.277653,0.870337,-1.622705,0.825885,-0.395656
20260718-165917-978,1,44,23.117264,4.072287,22.602771,5.207979,0.952925,-1.684476,0.825473,-0.386650
20260718-165917-978,1,45,23.062236,3.962610,22.623679,5.129729,1.035473,-1.750403,0.825104,-0.377640
20260718-165917-978,1,46,22.995385,3.848150,22.639289,5.043012,1.117983,-1.820199,0.824782,-0.368624
20260718-165917-978,1,47,22.915545,3.730393,22.648011,4.948147,1.200461,-1.893581,0.824516,-0.359601
20260718-165917-978,1,48,22.821676,3.611014,22.648224,4.845685,1.282913,-1.970269,0.824310,-0.350571
20260718-165917-978,1,49,22.712903,3.491864,22.638321,4.736427,1.365344,-2.049986,0.824167,-0.341533
20260718-165917-978,1,50,22.588551,3.374953,22.616743,4.621431,1.447761,-2.132454,0.824092,-0.332487
20260718-165917-978,1,51,22.448182,3.262428,22.582031,4.502018,1.530170,-2.217403,0.824086,-0.323432
20260718-165917-978,1,52,22.291624,3.156534,22.532867,4.379768,1.612578,-2.304559,0.824151,-0.314368
20260718-165917-978,1,53,22.118994,3.059580,22.468122,4.256496,1.694993,-2.393655,0.824288,-0.305296
20260718-165917-978,1,54,21.930714,2.973895,22.386898,4.134238,1.777422,-2.484424,0.824497,-0.296214
20260718-165917-978,1,55,21.727520,2.901782,22.288572,4.015210,1.859872,-2.576600,0.824777,-0.287125
20260718-165917-978,1,56,21.510460,2.845468,22.172826,3.901769,1.942350,-2.669921,0.825125,-0.278027
20260718-165917-978,1,57,21.280884,2.807054,22.039672,3.796367,2.024862,-2.764124,0.825541,-0.268921
20260718-165917-978,1,58,21.040423,2.788471,21.889474,3.701495,2.107416,-2.858949,0.826021,-0.259808
20260718-165917-978,1,59,20.790964,2.791435,21.722950,3.619628,2.190018,-2.954137,0.483618,-0.250688
20260718-165917-978,1,60,20.534611,2.817407,21.541171,3.553163,2.238380,-3.049432,0.000000,-0.099661
20260718-165917-978,1,61,20.297315,2.824690,21.331123,3.521641,2.238380,-3.087465,-0.000000,-0.099661
20260718-165917-978,1,62,20.060467,2.840991,21.120028,3.498130,2.238380,-3.125497,0.000000,-0.099661
20260718-165917-978,1,63,19.824411,2.866287,20.908192,3.482662,2.238380,-3.163530,-0.004593,-0.099661
20260718-165917-978,1,64,19.589487,2.900539,20.695921,3.475260,2.237921,-3.201562,0.000000,-0.112830
20260718-165917-978,1,65,19.354811,2.947681,20.484975,3.474207,2.237921,-3.244652,-0.000000,-0.112830
20260718-165917-978,1,66,19.122383,3.004888,20.274179,3.482242,2.237921,-3.287741,0.000000,-0.112830
20260718-165917-978,1,67,18.892635,3.072054,20.063924,3.499350,2.237921,-3.330831,-0.026266,-0.112830
20260718-165917-978,1,68,18.665994,3.149054,19.854602,3.525498,2.235294,-3.373921,0.000000,-0.169056
20260718-165917-978,1,69,18.440866,3.253540,19.651365,3.552189,2.235294,-3.438752,-0.000000,-0.169056
20260718-165917-978,1,70,18.222980,3.372391,19.450284,3.591990,2.235294,-3.503583,0.000000,-0.169056
20260718-165917-978,1,71,18.013251,3.505109,19.252204,3.644735,2.235294,-3.568414,-0.000000,-0.169056
20260718-165917-978,1,72,17.812562,3.651136,19.057958,3.710202,2.235294,-3.633245,0.000000,-0.169056
20260718-165917-978,1,73,17.621754,3.809857,18.868360,3.788115,2.235294,-3.698076,0.000000,-0.169056
20260718-165917-978,1,74,17.441630,3.980607,18.684209,3.878148,2.235294,-3.762907,-0.000000,-0.169056
20260718-165917-978,1,75,17.272947,4.162667,18.506277,3.979923,2.235294,-3.827738,-0.041362,-0.169056
20260718-165917-978,1,76,17.116413,4.355273,18.335313,4.093011,2.231158,-3.892569,-0.000000,-0.230278
20260718-165917-978,1,77,16.980923,4.575631,18.171732,4.206210,2.231158,-3.981450,0.000000,-0.230278
20260718-165917-978,1,78,16.865527,4.807146,18.018845,4.333482,2.231158,-4.070331,-0.000000,-0.230278
20260718-165917-978,1,79,16.771137,5.047991,17.877858,4.473823,2.231158,-4.159212,-0.013125,-0.230278
20260718-165917-978,1,80,16.698499,5.296263,17.749886,4.626124,2.229845,-4.248093,0.000000,-0.246291
20260718-165917-978,1,81,16.651949,5.553661,17.634832,4.786563,2.229845,-4.343347,0.000000,-0.246291
20260718-165917-978,1,82,16.630091,5.814321,17.535560,4.957217,2.229845,-4.438601,-0.000000,-0.246291
20260718-165917-978,1,83,16.633123,6.075877,17.452968,5.136540,2.229845,-4.533856,0.092503,-0.246291
20260718-165917-978,1,84,16.661019,6.335959,17.387807,5.322905,2.239096,-4.629110,0.000000,-0.074543
20260718-165917-978,1,85,16.663273,6.569742,17.360986,5.536448,2.239096,-4.657524,-0.000000,-0.074543
20260718-165917-978,1,86,16.672168,6.803366,17.340243,5.750667,2.239096,-4.685939,0.000000,-0.074543
20260718-165917-978,1,87,16.687696,7.036644,17.325594,5.965389,2.239096,-4.714353,0.009042,-0.074543
20260718-165917-978,1,88,16.709846,7.269386,17.317051,6.180440,2.240000,-4.742767,0.000000,0.000000
20260718-165917-978,1,89,16.716650,7.493282,17.323855,6.404337,2.240000,-4.742767,0.000000,0.000000
20260718-165917-978,1,90,16.723454,7.717179,17.330659,6.628234,2.240000,-4.742767,0.000000,0.000000
20260718-165917-978,1,91,16.730258,7.941076,17.337462,6.852130,2.240000,-4.742767,-0.000040,0.000000
20260718-165917-978,1,92,16.737061,8.164972,17.344266,7.076027,2.239996,-4.742767,-0.000000,-0.004991
20260718-165917-978,1,93,16.745325,8.389431,17.350460,7.299334,2.239996,-4.744667,0.000000,-0.004991
20260718-165917-978,1,94,16.754016,8.613874,17.357079,7.522630,2.239996,-4.746567,-0.000000,-0.004991
20260718-165917-978,1,95,16.763133,8.838301,17.364121,7.745912,2.239996,-4.748467,0.000000,-0.004991
20260718-165917-978,1,96,16.772676,9.062709,17.371588,7.969181,2.239996,-4.750367,-0.000000,-0.004991
20260718-165917-978,1,97,16.782645,9.287099,17.379479,8.192435,2.239996,-4.752267,0.000000,-0.004991
20260718-165917-978,1,98,16.793041,9.511469,17.387794,8.415673,2.239996,-4.754166,-0.000000,-0.004991
20260718-165917-978,1,99,16.803863,9.735820,17.396533,8.638896,2.239996,-4.756066,0.000000,-0.004991
20260718-165917-978,1,100,16.815111,9.960149,17.405696,8.862101,2.239996,-4.757966,0.000000,-0.004991
20260718-165917-978,1,101,16.826786,10.184457,17.415283,9.085289,2.239996,-4.759866,-0.000000,-0.004991
20260718-165917-978,1,102,16.838886,10.408742,17.425295,9.308457,2.239996,-4.761766,0.000000,-0.004991
20260718-165917-978,1,103,16.851413,10.633003,17.435730,9.531607,2.239996,-4.763666,-0.000205,-0.004991
20260718-165917-978,1,104,16.864366,10.857241,17.446589,9.754736,2.239975,-4.765566,-0.000000,0.012290
20260718-165917-978,1,105,16.872650,11.079610,17.460024,9.979841,2.239975,-4.760887,0.000000,0.012290
20260718-165917-978,1,106,16.879893,11.302015,17.472406,10.205006,2.239975,-4.756209,-0.000000,0.012290
20260718-165917-978,1,107,16.886096,11.524451,17.483734,10.430226,2.239975,-4.751531,-0.000000,0.012290
20260718-165917-978,1,108,16.891258,11.746914,17.494009,10.655497,2.239975,-4.746853,-0.000000,0.012290
20260718-165917-978,1,109,16.895379,11.969399,17.503229,10.880813,2.239975,-4.742175,0.000000,0.012290
20260718-165917-978,1,110,16.898460,12.191901,17.511396,11.106171,2.239975,-4.737496,-0.000000,0.012290
20260718-165917-978,1,111,16.900499,12.414414,17.518508,11.331564,2.239975,-4.732818,-0.012053,0.012290
20260718-165917-978,1,112,16.901498,12.636935,17.524566,11.556987,2.238770,-4.728140,-0.000000,0.086889
20260718-165917-978,1,113,16.879884,12.850283,17.538390,11.791572,2.238770,-4.695002,0.000000,0.086889
20260718-165917-978,1,114,16.851214,13.062798,17.544436,12.026485,2.238770,-4.661864,-0.000000,0.086889
20260718-165917-978,1,115,16.815518,13.274246,17.542694,12.261470,2.238770,-4.628726,0.000000,0.086889
20260718-165917-978,1,116,16.772836,13.484395,17.533168,12.496268,2.238770,-4.595588,0.000000,0.086889
20260718-165917-978,1,117,16.723215,13.693015,17.515868,12.730622,2.238770,-4.562451,0.000000,0.086889
20260718-165917-978,1,118,16.666709,13.899877,17.490813,12.964274,2.238770,-4.529313,-0.000000,0.086889
20260718-165917-978,1,119,16.603381,14.104752,17.458031,13.196967,2.238770,-4.496175,0.012298,0.086889
20260718-165917-978,1,120,16.533299,14.307417,17.417556,13.428446,2.240000,-4.463037,0.000000,0.000000
20260718-165917-978,1,121,16.478022,14.524489,17.362279,13.645519,2.240000,-4.463037,0.000000,0.000000
20260718-165917-978,1,122,16.422744,14.741562,17.307001,13.862591,2.240000,-4.463037,0.000000,0.000000
20260718-165917-978,1,123,16.367466,14.958634,17.251723,14.079663,2.240000,-4.463037,-0.000245,0.000000
20260718-165917-978,1,124,16.312188,15.175706,17.196445,14.296735,2.239975,-4.463037,-0.000000,-0.012290
20260718-165917-978,1,125,16.259987,15.395098,17.140122,14.512000,2.239975,-4.467715,0.000000,-0.012290
20260718-165917-978,1,126,16.208813,15.614732,17.084807,14.727526,2.239975,-4.472393,-0.000000,-0.012290
20260718-165917-978,1,127,16.158667,15.834603,17.030501,14.943309,2.239975,-4.477071,-0.012053,-0.012290
20260718-165917-978,1,128,16.109550,16.054706,16.977205,15.159343,2.238770,-4.481750,-0.000000,-0.086889
20260718-165917-978,1,129,16.080667,16.288479,16.918181,15.364861,2.238770,-4.514887,0.000000,-0.086889
20260718-165917-978,1,130,16.059546,16.523081,16.865999,15.572221,2.238770,-4.548025,-0.000000,-0.086889
20260718-165917-978,1,131,16.046209,16.758253,16.820715,15.781197,2.238770,-4.581163,-0.003901,-0.086889
20260718-165917-978,1,132,16.040671,16.993739,16.782380,15.991558,2.238380,-4.614301,-0.000000,-0.099661
20260718-165917-978,1,133,16.046548,17.231074,16.749615,16.201415,2.238380,-4.652334,0.000000,-0.099661
20260718-165917-978,1,134,16.061445,17.468014,16.724852,16.412367,2.238380,-4.690366,-0.000000,-0.099661
20260718-165917-978,1,135,16.085341,17.704216,16.708129,16.624107,2.238380,-4.728399,-0.072221,-0.099661
20260718-165917-978,1,136,16.118200,17.939338,16.699469,16.836330,2.231158,-4.766431,0.000000,-0.230278
20260718-165917-978,1,137,16.200207,18.184675,16.681274,17.034425,2.231158,-4.855312,-0.000000,-0.230278
20260718-165917-978,1,138,16.303667,18.421765,16.680734,17.233354,2.231158,-4.944193,0.000000,-0.230278
20260718-165917-978,1,139,16.427764,18.648735,16.697855,17.431545,2.231158,-5.033074,0.022787,-0.230278
20260718-165917-978,1,140,16.571518,18.863793,16.732500,17.627434,2.233437,-5.121955,0.000000,-0.199085
20260718-165917-978,1,141,16.723698,19.066187,16.789632,17.821136,2.233437,-5.198525,-0.000000,-0.199085
20260718-165917-978,1,142,16.890913,19.256348,16.861414,18.009901,2.233437,-5.275095,-0.000000,-0.199085
20260718-165917-978,1,143,17.072185,19.433159,16.947425,18.192621,2.233437,-5.351665,0.000000,-0.199085
20260718-165917-978,1,144,17.266451,19.595587,17.047162,18.368227,2.233437,-5.428235,0.000000,-0.199085
20260718-165917-978,1,145,17.472573,19.742678,17.160039,18.535689,2.233437,-5.504805,-0.000000,-0.199085
20260718-165917-978,1,146,17.689343,19.873571,17.285396,18.694026,2.233437,-5.581375,-0.000000,-0.199085
20260718-165917-978,1,147,17.915490,19.987498,17.422497,18.842309,2.233437,-5.657945,0.000000,-0.199085
20260718-165917-978,1,148,18.149689,20.083793,17.570540,18.979671,2.233437,-5.734514,-0.000000,-0.199085
20260718-165917-978,1,149,18.390568,20.161890,17.728656,19.105305,2.233437,-5.811084,0.000000,-0.199085
20260718-165917-978,1,150,18.636716,20.221332,17.895919,19.218476,2.233437,-5.887654,-0.000000,-0.199085
20260718-165917-978,1,151,18.886689,20.261772,18.071349,19.318521,2.233437,-5.964224,0.059250,-0.199085
20260718-165917-978,1,152,19.139023,20.282971,18.253919,19.404853,2.239362,-6.040794,-0.000000,-0.062656
20260718-165917-978,1,153,19.368051,20.320841,18.462237,19.464102,2.239362,-6.064667,0.000000,-0.062656
20260718-165917-978,1,154,19.597918,20.353233,18.671911,19.518361,2.239362,-6.088541,-0.000000,-0.062656
20260718-165917-978,1,155,19.828492,20.380129,18.882820,19.567600,2.239362,-6.112414,0.000000,-0.062656
20260718-165917-978,1,156,20.059643,20.401513,19.094844,19.611789,2.239362,-6.136287,-0.000000,-0.062656
20260718-165917-978,1,157,20.291238,20.417373,19.307863,19.650905,2.239362,-6.160160,0.000000,-0.062656
20260718-165917-978,1,158,20.523146,20.427700,19.521755,19.684925,2.239362,-6.184034,-0.000000,-0.062656
20260718-165917-978,1,159,20.755234,20.432489,19.736397,19.713830,2.239362,-6.207907,0.004896,-0.062656
20260718-165917-978,1,160,20.987371,20.431736,19.951669,19.737602,2.239851,-6.231780,-0.000000,-0.030264
20260718-165917-978,1,161,21.215157,20.434678,20.171527,19.752523,2.239851,-6.243302,-0.000000,-0.030264
20260718-165917-978,1,162,21.442962,20.434995,20.391541,19.764910,2.239851,-6.254824,0.000000,-0.030264
20260718-165917-978,1,163,21.670756,20.432687,20.611684,19.774761,2.239851,-6.266346,0.001487,-0.030264
20260718-165917-978,1,164,21.898508,20.427755,20.831926,19.782075,2.240000,-6.277868,0.000000,0.000000
20260718-165917-978,1,165,22.122505,20.428946,21.055923,19.783266,2.240000,-6.277868,0.000000,0.000000
20260718-165917-978,1,166,22.346502,20.430137,21.279920,19.784457,2.240000,-6.277868,0.000000,0.000000
20260718-165917-978,1,167,22.570498,20.431328,21.503916,19.785648,2.240000,-6.277868,-0.000040,0.000000
20260718-165917-978,1,168,22.794495,20.432519,21.727913,19.786839,2.239996,-6.277868,-0.000000,-0.004991
20260718-165917-978,1,169,23.019106,20.432271,21.951300,19.788618,2.239996,-6.279768,0.000000,-0.004991
20260718-165917-978,1,170,23.243716,20.431596,22.174689,19.789973,2.239996,-6.281668,-0.000000,-0.004991
20260718-165917-978,1,171,23.468325,20.430494,22.398080,19.790904,2.239996,-6.283568,-0.000205,-0.004991
20260718-165917-978,1,172,23.692931,20.428966,22.621473,19.791410,2.239975,-6.285468,-0.000000,-0.012290
20260718-165917-978,1,173,23.918411,20.424897,22.843982,19.792360,2.239975,-6.290146,0.000000,-0.012290
20260718-165917-978,1,174,24.143870,20.419774,23.066493,19.792270,2.239975,-6.294824,-0.000000,-0.012290
20260718-165917-978,1,175,24.369302,20.413595,23.289002,19.791139,2.239975,-6.299502,-0.001242,-0.012290
20260718-165917-978,1,176,24.594702,20.406362,23.511502,19.788966,2.239851,-6.304180,0.000000,-0.030264
20260718-165917-978,1,177,24.822105,20.392819,23.731863,19.787945,2.239851,-6.315702,-0.000000,-0.030264
20260718-165917-978,1,178,25.049336,20.376657,23.952198,19.784384,2.239851,-6.327224,0.000000,-0.030264
20260718-165917-978,1,179,25.276366,20.357877,24.172476,19.778285,2.239851,-6.338746,0.000000,-0.030264
20260718-165917-978,1,180,25.503164,20.336484,24.392670,19.769648,2.239851,-6.350268,-0.000000,-0.030264
20260718-165917-978,1,181,25.729701,20.312478,24.612750,19.758475,2.239851,-6.361790,0.000000,-0.030264
20260718-165917-978,1,182,25.955947,20.285864,24.832686,19.744767,2.239851,-6.373312,0.000000,-0.030264
20260718-165917-978,1,183,26.181870,20.256645,25.052450,19.728525,2.239851,-6.384834,-0.001170,-0.030264
20260718-165917-978,1,184,26.407442,20.224825,25.272012,19.709753,2.239734,-6.396356,0.000000,-0.040451
20260718-165917-978,1,185,26.633493,20.187329,25.490264,19.689807,2.239734,-6.411759,-0.000000,-0.040451
20260718-165917-978,1,186,26.858939,20.146355,25.708182,19.666501,2.239734,-6.427163,0.000000,-0.040451
20260718-165917-978,1,187,27.083727,20.101914,25.925716,19.639842,2.239734,-6.442566,-0.006385,-0.040451
20260718-165917-978,1,188,27.307804,20.054016,26.142813,19.609835,2.239096,-6.457969,-0.000000,-0.074543
20260718-165917-978,1,189,27.533270,19.992173,26.356130,19.581270,2.239096,-6.486384,0.000000,-0.074543
20260718-165917-978,1,190,27.756888,19.923950,26.568549,19.546655,2.239096,-6.514798,-0.000000,-0.074543
20260718-165917-978,1,191,27.978478,19.849401,26.779900,19.506020,2.239096,-6.543212,0.000000,-0.074543
20260718-165917-978,1,192,28.197860,19.768587,26.990010,19.459397,2.239096,-6.571627,-0.000000,-0.074543
20260718-165917-978,1,193,28.414857,19.681573,27.198711,19.406823,2.239096,-6.600041,0.000000,-0.074543
20260718-165917-978,1,194,28.629295,19.588429,27.405834,19.348341,2.239096,-6.628456,0.000000,-0.074543
20260718-165917-978,1,195,28.841000,19.489230,27.611212,19.283999,2.239096,-6.656870,-0.820958,-0.074543
20260718-165917-978,1,196,29.049802,19.384056,27.814679,19.213847,2.157000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,197,29.248298,19.299642,28.013175,19.129433,2.074000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,198,29.439156,19.218476,28.204033,19.048266,1.991000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,199,29.622376,19.140558,28.387253,18.970349,1.908000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,200,29.797958,19.065888,28.562835,18.895679,1.825000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,201,29.965902,18.994467,28.730779,18.824257,1.742000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,202,30.126208,18.926293,28.891085,18.756084,1.659000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,203,30.278876,18.861368,29.043753,18.691159,1.576000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,204,30.423906,18.799691,29.188783,18.629482,1.493000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,205,30.561298,18.741263,29.326175,18.571053,1.410000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,206,30.691052,18.686082,29.455929,18.515873,1.327000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,207,30.813168,18.634150,29.578045,18.463941,1.244000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,208,30.927646,18.585466,29.692523,18.415257,1.161000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,209,31.034487,18.540030,29.799364,18.369821,1.078000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,210,31.133689,18.497842,29.898566,18.327633,0.995000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,211,31.225253,18.458903,29.990130,18.288694,0.912000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,212,31.309179,18.423212,30.074056,18.253003,0.829000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,213,31.385467,18.390769,30.150344,18.220560,0.746000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,214,31.454117,18.361574,30.218994,18.191365,0.663000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,215,31.515129,18.335627,30.280006,18.165418,0.580000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,216,31.568503,18.312929,30.333380,18.142720,0.497000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,217,31.614239,18.293479,30.379116,18.123270,0.414000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,218,31.652337,18.277277,30.417214,18.107068,0.331000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,219,31.682797,18.264323,30.447674,18.094114,0.248000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,220,31.705619,18.254618,30.470496,18.084409,0.165000,-6.685284,-0.830000,0.000000
20260718-165917-978,1,221,31.720803,18.248161,30.485680,18.077951,0.082000,-6.685284,-0.820000,0.000000
20260718-165917-978,1,222,31.728349,18.244952,30.493226,18.074742,0.000000,-6.685284,-0.829995,0.000000
20260718-165917-978,1,223,31.728349,18.244952,30.493226,18.074742,-0.083000,-6.685284,-0.829967,-2.900916
20260718-165917-978,1,224,31.721013,18.246088,30.485308,18.080155,-0.165996,-6.688746,-0.829914,-2.905455
20260718-165917-978,1,225,31.706353,18.248545,30.469551,18.091003,-0.248988,-6.695533,-0.829842,-2.909992
20260718-165917-978,1,226,31.684396,18.252577,30.446083,18.107383,-0.331972,-6.705511,-0.829754,-2.914528
20260718-165917-978,1,227,31.655187,18.258503,30.415087,18.129461,-0.414947,-6.718544,-0.829654,-2.919062
20260718-165917-978,1,228,31.618792,18.266703,30.376791,18.157461,-0.497913,-6.734499,-0.829545,-2.923596
20260718-165917-978,1,229,31.575308,18.277611,30.331478,18.191665,-0.580867,-6.753241,-0.829431,-2.928128
20260718-165917-978,1,230,31.524861,18.291714,30.279477,18.232398,-0.663810,-6.774637,-0.829315,-2.932661
20260718-165917-978,1,231,31.467617,18.309540,30.221170,18.280023,-0.746742,-6.798552,-0.829200,-2.937193
20260718-165917-978,1,232,31.403783,18.331657,30.156991,18.334932,-0.829662,-6.824856,-0.829088,-2.941726
20260718-165917-978,1,233,31.333614,18.358662,30.087425,18.397537,-0.912570,-6.853414,-0.828981,-2.946259
